College Name,Avg Sentiment,Avg Rating,Review Count
G H Raisoni Institute of Engineering & Technology - [GHRIET],0.8932,8.3,1
Dr. Sudhir Chandra Sur Institute of Technology & Sports Complex - [SURTECH],0.9564,8.3,1
PDA College of Engineering,0.4588,8.3,1
K. C. College of Engineering And Management Studies And Research,0.7579,8.3,1
Kalinga University,0.9413,8.3,1
PES Institute of Technology and Management - [PESITM],-0.6863,8.3,1
Dr. B.C. Roy Engineering College  - [BCREC],0.9224,8.3,1
St. Thomas College of Engineering and Technology- [STC],0.8213,8.3,1
Jaypee University of Information Technology - [JUIT],0.9581,8.3,1
Kerala University of Fisheries and Ocean Studies - [KUFOS] Panangad,0.5413,8.3,1
"Institute of Management Studies, Banaras Hindu University",0.9274,8.3,1
Institute of Technical Education and Research - [ITER],0.8540230769230769,8.3,13
College of Engineering Perumon,0.8481,8.3,1
ITM Group of Institutions,0.8085,8.3,1
Manipal University - [MUJ],0.9193166666666667,8.299999999999999,6
Dr. M.G.R. Educational and Research Institute,0.49576666666666663,8.299999999999999,3
National Institute of Science and Technology - [NIST],0.9027333333333333,8.299999999999999,3
The LNM Institute of Information Technology - [LNMIIT],0.5670999999999999,8.2875,8
New Horizon College of Engineering - [NHCE],0.66508,8.28,5
Vellore Institute of Technology - [VIT University],0.82257,8.2775,40
Presidency University,0.900725,8.275,4
Sam Higginbottom University of Agriculture Technology and Sciences - [SHUATS],0.9094666666666665,8.266666666666667,3
United College of Engineering & Research - [UCER],0.8644846153846154,8.261538461538462,13
G D Goenka University - [GDGU],0.98305,8.25,2
Madan Mohan Malaviya University of Technology - [MMMUT],0.9636,8.25,2
M.S. Ramaiah University of Applied Sciences - [MSRUAS],0.20294999999999996,8.25,2
Babu Banarasi Das Institute of Technology & Management - [BBDITM],0.881,8.25,2
